POA_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
POA4000,3,9,0,9,..,95,0,95,0,95,..,300,59,359,0,359,..,45,0,45,0,44,..,31,19,48,0,48,..,9,0,9,0,11,..,38,0,38,0,38,..,466,50,514,4,520,..,2816,567,3381,19,3397,..,16,0,18,933,947,4476,2832,569,3395,949,8819,3482,..,..,..,..,3482,..,11,0,11,0,11,..,51,24,70,0,70,..,0,0,0,0,0,..,203,25,233,0,233,..,712,172,883,4,889,..,46,17,60,0,60,..,961,214,1176,4,1178,..,0,0,0,0,0,..,6,0,6,0,6,..,68,7,77,0,78,..,30,0,30,0,30,..,9,0,9,0,12,..,15,3,18,0,18,..,85,10,96,3,97,..,12,0,12,0,12,..,6,0,6,0,6,..,24,0,24,0,24,..,57,3,58,0,58,..,204,19,219,3,221,..,62,9,71,0,71,..,103,91,193,0,193,..,274,158,437
POA4005,0,11,0,11,..,24,0,24,0,24,..,96,7,100,0,100,..,10,0,9,0,9,..,13,7,12,0,12,..,8,0,8,0,8,..,14,5,21,0,21,..,157,23,179,3,178,..,1052,137,1184,6,1197,..,20,0,19,1193,1217,6367,1068,135,1204,1202,8772,6489,..,..,..,..,6489,..,17,0,18,0,18,..,6,13,16,0,16,..,0,0,0,0,0,..,72,49,118,0,118,..,92,26,124,0,124,..,6,0,7,0,7,..,168,79,245,0,245,..,9,0,9,0,9,..,11,0,16,0,16,..,78,0,76,0,76,..,49,0,49,0,49,..,21,0,21,0,21,..,0,0,0,0,0,..,14,0,21,0,21,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,61,3,63,0,63,..,91,3,92,0,92,..,133,34,169,0,168,..,45,3,43,0,44,..,13,3,19
POA4006,0,11,0,11,..,75,0,77,0,77,..,171,26,195,0,195,..,24,0,26,0,26,..,23,11,36,0,37,..,10,0,10,0,10,..,37,6,44,4,51,..,276,44,323,7,331,..,1564,262,1825,16,1844,..,16,0,16,1157,1172,4668,1587,262,1841,1171,7680,4063,..,..,..,..,4063,..,15,0,15,0,15,..,25,5,29,0,29,..,0,0,0,0,0,..,97,19,123,0,123,..,240,59,305,4,308,..,24,3,29,0,29,..,364,88,448,4,453,..,11,0,11,0,11,..,10,0,10,0,10,..,48,4,48,0,48,..,29,0,29,0,29,..,10,0,12,0,12,..,19,0,21,0,21,..,68,3,68,0,72,..,9,0,15,0,15,..,10,0,13,0,13,..,10,0,11,0,11,..,39,3,42,0,42,..,160,9,167,0,170,..,73,7,77,0,78,..,52,23,70,0,70,..,99,30,127
POA4007,0,3,0,3,..,21,4,29,0,29,..,55,10,63,0,63,..,4,0,4,0,4,..,10,0,15,0,15,..,0,0,0,0,0,..,14,3,16,0,16,..,105,12,114,3,121,..,767,83,848,6,857,..,12,0,16,541,558,4777,775,85,862,550,6187,5010,..,..,..,..,5010,..,7,0,7,0,7,..,14,3,19,0,19,..,0,0,0,0,0,..,52,0,52,0,58,..,133,21,153,0,153,..,5,3,8,0,8,..,188,28,218,0,220,..,4,0,4,0,4,..,13,0,13,0,13,..,33,7,35,0,35,..,29,0,29,0,29,..,31,0,38,0,38,..,0,0,0,0,0,..,31,4,31,0,31,..,21,0,24,0,24,..,6,0,6,0,6,..,6,0,6,0,6,..,21,3,18,0,18,..,85,4,90,0,90,..,72,4,74,0,74,..,37,3,43,0,43,..,27,5,36
POA4008,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,9,0,9,..,0,0,0,92,92,128,5,0,9,92,229,102,..,..,..,..,102,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
POA4009,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
POA4010,0,3,0,3,..,15,0,13,0,13,..,13,0,11,0,11,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,24,4,24,0,24,..,155,9,161,0,161,..,3,0,3,79,82,860,157,9,163,79,1104,907,..,..,..,..,907,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,13,0,13,..,0,0,0,0,0,..,14,0,14,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,14,0,13,0,13,..,28,0,29,0,29,..,16,0,16,0,16,..,12,0,16,0,16,..,4,0,6
POA4011,0,4,0,4,..,38,0,34,0,34,..,49,3,51,0,54,..,22,3,28,0,27,..,10,4,12,0,12,..,3,0,3,0,3,..,19,3,16,0,16,..,154,20,172,6,178,..,943,109,1054,14,1064,..,17,0,20,460,478,5767,957,108,1072,471,7309,6299,..,..,..,..,6299,..,9,0,9,0,9,..,20,5,20,0,20,..,3,0,3,0,3,..,26,3,31,0,31,..,83,14,103,0,103,..,3,0,3,0,3,..,122,19,140,0,140,..,10,0,10,0,10,..,7,0,7,0,7,..,41,0,41,0,43,..,19,0,22,0,22,..,24,0,24,0,24,..,13,0,12,0,12,..,64,0,64,0,64,..,60,6,69,0,68,..,8,0,12,0,12,..,3,0,9,0,9,..,65,7,72,0,74,..,213,14,230,3,237,..,65,8,71,0,71,..,27,6,35,0,36,..,44,12,58
POA4012,0,4,0,4,..,78,8,84,0,84,..,79,0,82,0,82,..,41,12,53,0,53,..,10,3,14,0,14,..,0,0,0,0,0,..,13,0,18,0,17,..,244,41,285,11,297,..,1438,162,1606,23,1621,..,19,0,23,566,589,8474,1459,166,1622,589,10688,8634,..,..,..,..,8634,..,14,0,14,0,14,..,13,3,16,0,16,..,9,0,9,0,9,..,54,13,68,3,69,..,103,21,125,0,125,..,4,0,11,0,11,..,164,37,197,3,197,..,0,0,0,0,0,..,16,0,16,0,16,..,36,0,40,0,40,..,48,0,48,0,48,..,17,0,14,0,14,..,19,0,23,0,23,..,110,12,123,0,123,..,112,15,124,3,129,..,16,8,19,0,19,..,11,0,11,0,11,..,140,16,158,4,154,..,412,48,459,8,461,..,84,11,95,0,95,..,54,7,67,0,67,..,52,23,73
POA4013,0,0,0,0,..,23,0,23,0,18,..,16,0,17,0,17,..,4,3,4,0,4,..,3,0,4,0,4,..,0,0,0,0,0,..,7,0,7,0,7,..,50,19,74,0,74,..,277,43,324,0,327,..,3,0,3,127,129,1820,280,43,326,127,2270,1842,..,..,..,..,1842,..,0,0,0,0,0,..,3,0,9,0,9,..,0,0,0,0,0,..,8,4,10,0,10,..,8,0,10,0,10,..,0,0,0,0,0,..,17,5,26,0,26,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,21,0,21,0,21,..,32,6,37,0,34,..,0,0,0,0,0,..,6,0,6,0,6,..,17,4,22,0,22,..,78,10,84,0,83,..,10,0,10,0,10,..,15,0,15,0,15,..,0,0,5
POA4014,0,3,0,3,..,79,4,86,0,86,..,18,3,22,0,22,..,15,3,16,0,16,..,6,0,9,0,9,..,0,0,0,0,0,..,20,5,32,0,32,..,102,22,124,3,121,..,588,81,669,3,671,..,15,0,19,272,289,4883,601,83,687,277,5846,4880,..,..,..,..,4880,..,4,0,4,0,4,..,0,0,0,0,4,..,3,0,6,0,6,..,20,11,25,0,25,..,51,6,61,0,61,..,3,0,3,0,3,..,73,17,90,0,90,..,6,0,5,0,5,..,3,0,3,0,3,..,4,0,4,0,4,..,24,0,23,0,23,..,6,0,6,0,6,..,3,0,3,0,3,..,51,3,56,0,62,..,50,12,64,0,64,..,14,3,16,0,16,..,0,0,0,0,0,..,31,3,34,0,34,..,152,27,181,0,179,..,6,0,8,0,9,..,31,0,31,0,31,..,12,3,15
POA4017,0,14,0,14,..,196,7,201,0,201,..,34,3,35,0,39,..,9,0,10,0,10,..,18,0,18,0,18,..,0,3,3,0,3,..,13,0,21,0,21,..,299,51,352,11,361,..,1418,165,1575,22,1604,..,46,11,54,803,857,15551,1457,171,1631,823,18003,16100,..,..,..,..,16100,..,23,0,23,0,23,..,22,25,48,0,48,..,8,0,10,0,10,..,44,22,61,0,61,..,75,12,83,3,89,..,8,3,6,0,6,..,121,37,159,3,157,..,8,0,12,0,12,..,34,0,34,4,38,..,53,3,54,0,54,..,71,0,76,0,74,..,23,3,27,0,27,..,3,0,7,0,7,..,108,7,112,0,117,..,93,13,111,5,114,..,17,0,20,0,20,..,8,0,8,0,8,..,43,3,54,0,55,..,277,31,309,11,319,..,58,3,62,0,69,..,55,3,61,0,61,..,26,3,30
POA4018,0,12,0,12,..,211,7,216,3,218,..,29,9,37,0,37,..,22,0,22,0,22,..,15,0,14,0,14,..,12,3,17,0,17,..,11,3,19,0,19,..,258,34,285,3,295,..,1570,185,1749,10,1766,..,6,9,16,265,283,3629,1578,191,1765,278,5673,4320,..,..,..,..,4320,..,12,0,12,0,12,..,22,9,25,0,25,..,0,3,3,0,3,..,79,35,110,0,110,..,86,26,111,0,111,..,0,0,0,0,0,..,162,57,222,0,222,..,3,0,6,0,6,..,3,0,3,0,3,..,7,3,6,0,6,..,14,3,16,0,16,..,19,0,19,0,18,..,16,0,16,0,16,..,128,13,142,3,142,..,221,30,253,0,257,..,34,0,36,0,36,..,4,0,4,0,4,..,114,20,138,0,138,..,517,68,589,3,592,..,38,5,47,3,43,..,34,3,34,0,37,..,17,4,20
POA4019,0,3,0,3,..,33,3,38,0,38,..,21,6,24,0,25,..,0,0,0,0,0,..,7,3,9,0,9,..,7,0,5,0,5,..,8,4,15,0,15,..,130,17,148,3,147,..,494,53,545,10,562,..,28,0,28,486,507,8726,520,53,572,501,9794,9145,..,..,..,..,9145,..,7,0,7,0,7,..,0,0,0,0,0,..,3,0,3,0,3,..,11,0,16,0,16,..,28,12,41,0,41,..,0,0,0,0,0,..,43,14,57,0,56,..,10,0,10,0,10,..,23,0,23,0,23,..,35,5,34,0,34,..,41,0,36,0,36,..,8,0,8,0,8,..,0,0,0,0,0,..,22,0,20,3,23,..,7,0,7,0,6,..,6,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,0,..,29,0,37,4,38,..,26,0,29,0,29,..,12,3,17,0,17,..,4,0,4
POA4020,0,3,0,3,..,25,0,25,3,28,..,42,5,47,0,47,..,3,0,3,0,3,..,7,3,8,0,8,..,0,0,0,0,0,..,15,3,17,0,17,..,105,14,117,4,122,..,510,57,574,9,578,..,34,10,40,703,748,9115,549,65,614,711,10443,9905,..,..,..,..,9905,..,29,0,29,0,29,..,22,0,27,0,27,..,3,0,3,0,3,..,3,10,12,0,12,..,39,12,51,0,51,..,7,0,7,0,7,..,47,23,69,0,69,..,12,3,13,0,13,..,21,0,21,0,21,..,23,0,25,0,25,..,53,0,51,0,51,..,17,0,21,0,21,..,0,0,0,0,0,..,19,0,19,0,19,..,7,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,8,0,8,..,33,0,34,0,34,..,57,4,62,0,62,..,15,0,15,0,15,..,3,3,3
POA4021,0,0,0,0,..,34,3,35,0,35,..,11,0,13,0,13,..,0,0,0,0,0,..,10,0,10,0,10,..,0,0,0,0,0,..,3,0,4,0,4,..,67,4,76,0,77,..,271,28,304,5,308,..,19,3,24,256,278,3994,294,29,328,260,4574,4473,..,..,..,..,4473,..,6,0,6,0,6,..,0,0,0,0,0,..,8,0,8,0,8,..,10,3,10,0,10,..,18,7,24,0,24,..,0,0,0,0,0,..,28,14,36,0,36,..,0,0,0,0,0,..,13,0,14,0,16,..,3,3,5,0,5,..,8,0,8,0,8,..,3,0,3,0,4,..,0,0,0,0,0,..,18,0,17,0,17,..,3,0,5,0,5,..,4,0,5,0,5,..,0,0,0,0,0,..,4,0,7,0,8,..,31,4,34,0,35,..,9,3,8,0,8,..,3,0,3,0,3,..,3,0,3
POA4022,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,8,0,8,..,65,7,72,4,71,..,225,31,253,3,258,..,9,0,9,212,224,2843,235,31,259,216,3317,3313,..,..,..,..,3313,..,15,0,15,0,15,..,0,0,0,0,0,..,0,0,0,0,0,..,5,3,9,0,9,..,4,0,7,0,9,..,4,0,3,0,3,..,15,8,22,0,20,..,3,0,3,0,3,..,9,0,9,0,9,..,9,0,9,0,9,..,13,0,12,0,12,..,3,0,3,0,3,..,0,0,0,0,0,..,19,0,19,0,19,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,22,0,22,0,22,..,9,0,9,0,9,..,5,3,10,0,10,..,8,0,8
POA4025,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,21,7,27,0,27,..,0,0,0,54,54,132,21,7,27,54,208,87,..,..,..,..,87,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,9,18,0,18,..,0,0,0,0,0,..,9,9,18,0,18,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,4,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,8,4,6,0,6,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3
POA4029,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,22,24,5,3,0,3,22,31,10,..,..,..,..,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
POA4030,0,3,0,3,..,50,4,53,0,53,..,63,15,76,0,76,..,9,4,10,0,10,..,12,8,19,0,19,..,4,0,4,0,4,..,5,3,12,0,12,..,161,27,193,3,194,..,1142,167,1305,6,1320,..,8,0,11,463,477,6507,1152,165,1316,475,8298,6367,..,..,..,..,6367,..,5,0,5,0,5,..,10,27,37,0,37,..,6,0,6,0,6,..,54,7,60,0,60,..,111,28,135,0,136,..,6,0,9,0,9,..,167,31,204,0,199,..,4,0,4,0,4,..,11,0,11,0,11,..,41,3,42,0,43,..,49,0,44,0,49,..,15,0,15,0,15,..,19,0,24,0,24,..,46,0,52,0,52,..,56,0,60,0,60,..,15,0,20,0,20,..,12,3,15,0,15,..,148,8,156,0,157,..,301,13,312,0,318,..,98,46,142,0,142,..,45,11,52,0,52,..,35,3,42
POA4031,0,4,0,4,..,38,5,43,0,43,..,38,0,43,0,43,..,10,0,13,0,13,..,7,0,5,0,5,..,4,0,4,0,4,..,7,0,10,0,10,..,118,29,143,7,147,..,720,93,807,8,821,..,7,0,7,330,337,5499,726,93,822,336,6651,5639,..,..,..,..,5639,..,7,0,11,0,11,..,11,0,17,0,19,..,3,0,3,0,3,..,31,6,36,0,41,..,59,13,76,0,76,..,4,0,4,0,4,..,99,21,116,0,117,..,3,0,7,0,7,..,9,0,9,0,9,..,21,3,19,0,19,..,15,0,15,0,15,..,17,0,18,0,18,..,4,0,5,0,5,..,39,9,44,3,46,..,39,6,46,0,46,..,9,0,9,0,11,..,3,0,3,0,3,..,46,10,55,0,58,..,143,25,164,4,174,..,97,10,110,0,114,..,32,0,31,0,31,..,23,9,30
POA4032,0,14,0,14,..,143,7,152,0,153,..,47,4,50,0,50,..,8,0,10,0,10,..,11,4,12,0,12,..,4,0,11,0,11,..,17,4,22,0,23,..,294,57,347,8,359,..,1373,199,1568,21,1593,..,22,3,29,455,483,5369,1399,203,1598,474,7440,5774,..,..,..,..,5774,..,4,0,4,0,4,..,24,3,25,3,28,..,4,0,4,0,4,..,67,19,85,0,85,..,157,39,196,0,196,..,10,3,14,0,14,..,235,60,293,0,293,..,5,0,5,0,5,..,10,0,10,0,10,..,20,0,20,0,20,..,14,0,15,0,19,..,12,4,16,0,16,..,14,3,18,0,18,..,71,4,81,0,82,..,101,12,114,3,114,..,12,0,12,0,16,..,8,0,8,0,8,..,69,3,76,0,76,..,280,22,304,4,310,..,98,25,119,0,126,..,37,6,38,0,37,..,70,27,101
POA4034,0,18,0,17,..,269,13,276,3,275,..,119,8,129,0,129,..,46,5,52,0,52,..,24,3,31,0,31,..,3,0,3,0,3,..,47,7,57,0,62,..,613,114,726,12,742,..,3373,459,3833,50,3877,..,60,6,70,963,1032,16773,3438,466,3904,1006,21684,17591,..,..,..,..,17591,..,34,0,34,0,35,..,37,6,42,0,42,..,11,0,7,0,7,..,191,66,257,0,257,..,255,89,345,0,349,..,23,7,22,0,22,..,467,160,628,3,631,..,20,3,26,0,26,..,20,0,22,0,22,..,52,5,61,0,61,..,55,3,61,0,60,..,57,6,63,0,61,..,26,3,28,0,28,..,226,19,247,3,248,..,349,61,402,7,409,..,47,0,46,0,46,..,32,0,33,0,34,..,144,36,175,0,175,..,819,116,933,13,948,..,247,28,276,8,286,..,91,9,98,0,98,..,56,24,82
POA4035,0,0,0,0,..,47,0,47,0,47,..,37,6,43,4,46,..,16,0,16,0,16,..,13,0,12,0,12,..,0,0,0,0,0,..,13,7,19,0,19,..,158,26,184,3,181,..,1063,102,1170,12,1179,..,24,0,24,375,405,10188,1091,102,1195,388,11767,10657,..,..,..,..,10657,..,76,0,82,0,82,..,26,3,29,0,29,..,4,0,4,0,4,..,61,20,80,0,82,..,116,27,139,0,142,..,12,5,18,0,18,..,193,45,244,0,247,..,7,0,8,0,8,..,15,0,15,0,16,..,23,3,29,0,29,..,47,0,47,0,47,..,25,0,27,0,27,..,16,0,16,0,16,..,108,0,113,0,113,..,37,4,44,0,44,..,8,0,10,0,12,..,3,0,3,0,3,..,38,4,41,0,41,..,212,10,227,0,228,..,120,10,132,0,138,..,37,0,40,0,40,..,7,0,11
POA4036,0,3,0,3,..,39,0,39,0,39,..,21,0,18,0,18,..,16,0,16,0,16,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,6,0,6,..,68,5,73,0,76,..,310,18,326,8,335,..,10,0,13,104,114,2752,316,20,337,106,3197,2816,..,..,..,..,2816,..,0,0,0,0,0,..,4,0,5,0,5,..,0,0,0,0,0,..,7,3,15,0,15,..,13,4,13,0,13,..,0,0,0,0,0,..,22,6,30,0,30,..,4,0,4,0,4,..,3,0,3,0,3,..,5,0,5,0,5,..,3,0,3,0,7,..,5,0,5,0,5,..,0,3,4,0,4,..,18,0,15,0,19,..,13,3,20,0,20,..,12,0,8,0,8,..,0,0,3,0,3,..,13,0,16,0,16,..,54,10,63,0,68,..,10,3,18,0,18,..,7,3,7,0,7,..,0,0,0
